Season,TeamName,BoxscoreIndex
2011,Oklahoma City Thunder,201102270OKC
2011,Oklahoma City Thunder,201103020OKC
2011,Oklahoma City Thunder,201103040ATL
2011,Oklahoma City Thunder,201103060OKC
2011,Oklahoma City Thunder,201103070MEM
2011,Oklahoma City Thunder,201103090PHI
2011,Oklahoma City Thunder,201103110OKC
2011,Oklahoma City Thunder,201103130CLE
2011,Oklahoma City Thunder,201103140WAS
2011,Oklahoma City Thunder,201103160MIA
2011,Oklahoma City Thunder,201103180OKC
2011,Oklahoma City Thunder,201103200OKC
2011,Oklahoma City Thunder,201103230OKC
2011,Oklahoma City Thunder,201103250OKC
2011,Oklahoma City Thunder,201103270OKC
2011,Oklahoma City Thunder,201103290OKC
2011,Oklahoma City Thunder,201103300PHO
2011,Oklahoma City Thunder,201104010POR
2011,Oklahoma City Thunder,201104020LAC
2011,Oklahoma City Thunder,201104050DEN
2011,Oklahoma City Thunder,201104060OKC
2011,Oklahoma City Thunder,201104080OKC
2011,Oklahoma City Thunder,201104100LAL
2011,Oklahoma City Thunder,201104110SAC
2011,Oklahoma City Thunder,201104130OKC
2011,Oklahoma City Thunder,201104170OKC
2011,Oklahoma City Thunder,201104200OKC
2011,Oklahoma City Thunder,201104230DEN
2011,Oklahoma City Thunder,201104250DEN
2011,Oklahoma City Thunder,201104270OKC
2011,Oklahoma City Thunder,201105010OKC
2011,Oklahoma City Thunder,201105030OKC
2011,Oklahoma City Thunder,201105070MEM
2011,Oklahoma City Thunder,201105090MEM
2011,Oklahoma City Thunder,201105110OKC
2011,Oklahoma City Thunder,201105130MEM
2011,Oklahoma City Thunder,201105150OKC
2011,Oklahoma City Thunder,201105170DAL
2011,Oklahoma City Thunder,201105190DAL
2011,Oklahoma City Thunder,201105210OKC
2011,Oklahoma City Thunder,201105230OKC
2011,Oklahoma City Thunder,201105250DAL
2011,San Antonio Spurs,201010270SAS
2011,San Antonio Spurs,201010300SAS
2011,San Antonio Spurs,201011010LAC
2011,San Antonio Spurs,201011030PHO
2011,San Antonio Spurs,201011060SAS
2011,San Antonio Spurs,201011080CHA
2011,San Antonio Spurs,201011100SAS
2011,San Antonio Spurs,201011130SAS
2011,San Antonio Spurs,201011140OKC
2011,San Antonio Spurs,201011170SAS
2011,San Antonio Spurs,201011190UTA
2011,San Antonio Spurs,201011200SAS
2011,San Antonio Spurs,201011220SAS
2011,San Antonio Spurs,201011240MIN
2011,San Antonio Spurs,201011260SAS
2011,San Antonio Spurs,201011280NOH
2011,San Antonio Spurs,201011300GSW
2011,San Antonio Spurs,201012010LAC
2011,San Antonio Spurs,201012030SAS
2011,San Antonio Spurs,201012050SAS
2011,San Antonio Spurs,201012080SAS
2011,San Antonio Spurs,201012100SAS
2011,San Antonio Spurs,201012120SAS
2011,San Antonio Spurs,201012150SAS
2011,San Antonio Spurs,201012160DEN
2011,San Antonio Spurs,201012180SAS
2011,San Antonio Spurs,201012200SAS
2011,San Antonio Spurs,201012220SAS
2011,San Antonio Spurs,201012230ORL
2011,San Antonio Spurs,201012260SAS
2011,San Antonio Spurs,201012280SAS
2011,San Antonio Spurs,201012300DAL
2011,San Antonio Spurs,201101010SAS
2011,San Antonio Spurs,201101040NYK
2011,San Antonio Spurs,201101050BOS
2011,San Antonio Spurs,201101070IND
2011,San Antonio Spurs,201101090SAS
2011,San Antonio Spurs,201101110MIN
2011,San Antonio Spurs,201101120MIL
2011,San Antonio Spurs,201101140SAS
2011,San Antonio Spurs,201101160SAS
2011,San Antonio Spurs,201101190SAS
2011,San Antonio Spurs,201101210SAS
2011,San Antonio Spurs,201101220NOH
2011,San Antonio Spurs,201101240GSW
2011,San Antonio Spurs,201101260UTA
2011,San Antonio Spurs,201101290SAS
2011,San Antonio Spurs,201102010POR
2011,San Antonio Spurs,201102030LAL
2011,San Antonio Spurs,201102040SAC
2011,San Antonio Spurs,201102080DET
2011,San Antonio Spurs,201102090TOR
2011,San Antonio Spurs,201102110PHI
2011,San Antonio Spurs,201102120WAS
2011,San Antonio Spurs,201102140NJN
2011,San Antonio Spurs,201102170CHI
2011,San Antonio Spurs,201102230SAS
2011,San Antonio Spurs,201102250SAS
2011,San Antonio Spurs,201102270SAS
2011,San Antonio Spurs,201103010MEM
2011,San Antonio Spurs,201103020CLE
2011,San Antonio Spurs,201103040SAS
2011,San Antonio Spurs,201103060SAS
2011,San Antonio Spurs,201103090SAS
2011,San Antonio Spurs,201103110SAS
2011,San Antonio Spurs,201103120HOU
2011,San Antonio Spurs,201103140MIA
2011,San Antonio Spurs,201103180DAL
2011,San Antonio Spurs,201103190SAS
2011,San Antonio Spurs,201103210SAS
2011,San Antonio Spurs,201103230DEN
2011,San Antonio Spurs,201103250POR
